'a	ぁ
a	あ
'i	ぃ
i	い
yi	い
ye	いぇ
'u	ぅ
u	う
wu	う
wha	うぁ
wi	うぃ
we	うぇ
who	うぉ
'e	ぇ
e	え
'o	ぉ
o	お
ka	か
ga	が
ki	き
gi	ぎ
kye	きぇ
gye	ぎぇ
kya	きゃ
gya	ぎゃ
kyu	きゅ
gyu	ぎゅ
kyo	きょ
gyo	ぎょ
ku	く
gu	ぐ
ke	け
ge	げ
ko	こ
go	ご
sa	さ
za	ざ
shi	し
si	し
ji	じ
zi	じ
she	しぇ
sye	しぇ
je	じぇ
zye	じぇ
sha	しゃ
sya	しゃ
ja	じゃ
zya	じゃ
shu	しゅ
syu	しゅ
ju	じゅ
zyu	じゅ
sho	しょ
syo	しょ
jo	じょ
zyo	じょ
su	す
zu	ず
se	せ
ze	ぜ
so	そ
zo	ぞ
ta	た
da	だ
chi	ち
ti	ち
di	ぢ
che	ちぇ
tye	ちぇ
cha	ちゃ
tya	ちゃ
chu	ちゅ
tyu	ちゅ
cho	ちょ
tyo	ちょ
'c	っ
tu	つ
du	づ
te	て
de	で
to	と
do	ど
na	な
ni	に
nye	にぇ
nya	にゃ
nyu	にゅ
nyo	にょ
nu	ぬ
ne	ね
no	の
ha	は
ba	ば
pa	ぱ
hi	ひ
bi	び
pi	ぴ
hye	ひぇ
bye	びぇ
pye	ぴぇ
hya	ひゃ
bya	びゃ
pya	ぴゃ
hyu	ひゅ
byu	びゅ
pyu	ぴゅ
hyo	ひょ
byo	びょ
pyo	ぴょ
fu	ふ
hu	ふ
bu	ぶ
pu	ぷ
fa	ふぁ
fi	ふぃ
fe	ふぇ
fo	ふぉ
he	へ
be	べ
pe	ぺ
ho	ほ
bo	ぼ
po	ぽ
ma	ま
mi	み
mye	みぇ
mya	みゃ
myu	みゅ
myo	みょ
mu	む
me	め
mo	も
'ya	ゃ
ya	や
'yu	ゅ
yu	ゆ
'yo	ょ
yo	よ
ra	ら
ri	り
rye	りぇ
rya	りゃ
ryu	りゅ
ryo	りょ
ru	る
re	れ
ro	ろ
wa	わ
wo	を
n	ん
nn	ん
-	ー
xi	き
kje	きぇ
gje	ぎぇ
qa	きゃ
gja	ぎゃ
qu	きゅ
gju	ぎゅ
qo	きょ
gjo	ぎょ
qe	け
ci	し
xe	しぇ
xa	しゃ
xu	しゅ
xo	しょ
ce	せ
qi	ち
ca	ちゃ
cu	ちゅ
co	ちょ
thi	てぃ
dhi	でぃ
thu	てゅ
dhu	でゅ
tho	とぅ
dho	どぅ
nje	にぇ
nja	にゃ
nju	にゅ
njo	にょ
hje	ひぇ
bje	びぇ
pje	ぴぇ
hja	ひゃ
bja	びゃ
pja	ぴゃ
hju	ひゅ
bju	びゅ
pju	ぴゅ
hjo	ひょ
bjo	びょ
pjo	ぴょ
fju	ふゅ
mje	みぇ
mja	みゃ
mju	みゅ
mjo	みょ
li	り
la	りゃ
lu	りゅ
lo	りょ
le	れ
:	ー
'b	っ	b
cc	っ	c
'd	っ	d
'f	っ	f
ff	っ	f
'g	っ	g
'h	っ	h
'j	っ	j
'k	っ	k
kk	っ	k
'l	っ	l
'm	っ	m
'n	っ	n
'p	っ	p
pp	っ	p
'q	っ	q
qq	っ	q
'r	っ	r
's	っ	s
ss	っ	s
tt	っ	t
'v	っ	v
'w	っ	w
'x	っ	x
xx	っ	x
'z	っ	z
"a	ァ
"i	ィ
"u	ゥ
vhu	ヴ
n,u	う゚
n.u	ウ゚
vha	ヴぁ
vhi	ヴぃ
vhe	ヴぇ
vho	ヴぉ
"e	ェ
"o	ォ
"ka	ヵ
'ka	ゕ
n,ga	か゚
n.ga	カ゚
n,gi	き゚
n.gi	キ゚
k-y	きぃ
g-y	ぎぃ
